Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Yunara,15,56,86%,10,5,67%,4.9,3.9,1.53,-,32:49,9.2,780,468,-0.4,402,77
Azir,14,51,76%,7,7,50%,3.1,3.2,1.71,-,33:04,8.7,722,420,1.2,152,200
Orianna,19,45,75%,11,8,58%,4.4,3.9,1.53,-,32:08,8.7,773,419,10.3,172,178
Poppy,13,43,64%,10,3,77%,5.5,5.1,1.92,-,33:26,3.5,329,312,0.4,29,154
Neeko,19,36,64%,12,7,63%,3.1,5.2,1.58,-,33:13,1.1,359,261,-1.8,175,-96
Sion,21,31,61%,14,7,67%,5.3,4.4,1.38,-,31:35,7.6,559,384,-1.5,-73,88
Wukong,21,28,58%,12,9,57%,3.9,4.0,1.29,-,33:22,7.1,428,379,3.5,234,223
Alistar,24,25,55%,13,11,54%,2.8,8.0,1.58,-,32:49,0.9,179,244,-0.9,-138,16
Qiyana,15,28,50%,7,8,47%,2.8,3.3,1.53,-,31:44,7.7,569,423,4.7,153,-7
Ambessa,18,24,49%,7,11,39%,2.2,3.8,1.33,-,33:07,7.9,656,382,-0.4,1,114
Taliyah,22,18,47%,11,11,50%,4.5,4.7,1.27,-,33:26,8.8,700,411,-4.6,-248,-176
Aurora,17,21,42%,8,9,47%,3.7,4.6,1.71,-,31:21,8.0,703,392,-8.4,-383,-370
Ryze,22,15,41%,8,14,36%,2.5,5.0,1.36,-,32:53,9.1,641,414,2.1,62,49
Caitlyn,15,21,41%,5,10,33%,3.0,5.2,1.60,-,32:19,9.1,712,436,2.3,-137,-439
Xin,28,8,40%,17,11,61%,3.5,6.4,1.32,-,33:11,6.9,449,373,0.5,-292,-56
Bard,12,23,39%,6,6,50%,4.6,3.4,1.92,-,32:50,1.1,247,256,-2,41,153
Kaisa,18,17,38%,6,12,33%,2.8,6.8,1.67,-,30:59,9.4,650,453,1.8,243,86
Vi,16,17,37%,5,11,31%,2.6,4.0,1.56,-,32:59,6.7,319,364,-3.9,55,-30
Braum,16,15,35%,8,8,50%,3.6,8.7,1.56,-,31:42,1.0,230,252,-1.6,1,-153
Rakan,21,12,35%,10,11,48%,4.2,8.2,1.67,-,31:44,1.1,186,254,0.8,-17,-72
Rumble,20,12,34%,10,10,50%,2.9,6.7,1.55,-,33:13,7.3,672,373,7.7,234,142
