Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,Gold%,VS%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
369,CN,16,43.8%,2.6,2.9,3,4.9,7.9,394,53.9%,22.2%,21.3%,10.7%,641,0.84,0.33,0.13,0.14,113,5,438,12.5%,6.3%,0,4
Alvaro,ES,10,40%,3.7,0.5,3.1,10.9,1,249,75.5%,8.8%,13.4%,44.8%,223,3.86,1.86,0.49,0.48,24,-3,-392,40%,10%,0,-
Azhi,TW,5,20%,1.3,2.2,4.2,3.4,7.2,349,42.7%,24.8%,20.6%,12.7%,605,1,0.4,0.13,0.14,102,2,-172,20%,0%,0,1
Bdd,KR,16,75%,6.5,5.1,2.1,8.8,8.7,440,78.6%,25%,23%,11.8%,705,1.06,0.48,0.18,0.21,338,11,372,50%,18.8%,0,5
Beichuan,CN,2,0%,1.9,2,5.5,8.5,6.2,329,73.7%,15.6%,18.8%,15.7%,418,1.25,0.22,0.24,0.19,-32,8,497,0%,0%,0,-
Betty,TW,5,20%,1.9,3.2,3.6,3.8,9,392,58.3%,26.5%,23%,14.1%,675,1.12,0.36,0.35,0.11,-536,-9,-549,20%,20%,0,-
Bin,CN,8,50%,2.9,3.6,2.8,4.3,8.5,417,49.3%,17%,22.2%,10.1%,457,0.85,0.33,0.14,0.11,-122,2,-548,25%,0%,0,1
Boal,BR,7,28.6%,3.3,2.6,2.3,5,7.5,350,54.8%,19.4%,19.8%,13.7%,481,1.11,0.4,0.17,0.2,-34,-4,450,28.6%,0%,0,2
Brokenblade,DE,10,50%,2.8,2.1,2.3,4.3,7.6,368,54%,19.8%,20.6%,12.7%,500,1.1,0.39,0.2,0.18,-336,-11,-391,10%,20%,0,2
Busio,US,8,37.5%,2.7,0.8,3.4,8.5,0.8,236,68.8%,7.9%,13.1%,41.5%,214,3.25,1.84,0.3,0.32,-138,-2,-10,12.5%,12.5%,0,-
Bwipo,BE,8,37.5%,2.1,2.6,3.4,4.4,7.8,375,58.4%,23.8%,20.9%,13.2%,653,1.04,0.46,0.14,0.16,401,12,568,25%,25%,0,4
Canyon,KR,13,61.5%,5,2.6,2.5,9.7,6.7,364,70.1%,14.9%,19.1%,15.8%,413,1.47,0.39,0.29,0.33,-95,4,141,23.1%,7.7%,0,-
Caps,DK,10,50%,2.8,3.3,3,5.1,8.4,397,68.8%,28%,22.1%,12.3%,720,1.06,0.34,0.28,0.12,-176,4,108,20%,0%,0,2
Chovy,KR,13,61.5%,5.6,4.2,2.4,9.3,9,427,79%,28.7%,22.5%,15.9%,789,1.46,0.49,0.37,0.15,5,4,68,30.8%,15.4%,0,3
Creme,CN,16,43.8%,2.8,3.1,3,5.4,8.2,391,58%,27.3%,21%,11.5%,798,0.92,0.4,0.19,0.13,47,-1,-23,25%,6.3%,0,4
Cuzz,KR,16,75%,6.5,4.2,2.1,9.3,6.8,390,76%,17.6%,20.4%,22.8%,502,2.06,0.36,0.59,0.32,278,5,199,37.5%,6.3%,0,1
Delight,KR,9,55.6%,3.3,1.1,4.2,12.7,1.2,260,78.4%,7%,13.7%,42.5%,204,3.88,1.97,0.5,0.51,26,5,78,44.4%,0%,0,-
Dhokla,US,5,20%,1.6,2.2,4,4,7.3,353,49.4%,21.7%,20.6%,8.6%,563,0.64,0.16,0.18,0.07,-208,-13,-294,0%,20%,0,4
Dire,VN,6,33.3%,2.7,2.5,3.2,6,8.4,396,60.7%,22.1%,21.3%,11.5%,514,1.01,0.39,0.18,0.25,-938,-28,-1020,33.3%,33.3%,0,-
Disamis,BR,7,28.6%,2.2,2.6,4.3,6.7,6.3,347,63.1%,15.7%,19.7%,17.4%,399,1.43,0.25,0.33,0.22,-85,-3,-251,28.6%,14.3%,0,1
Doggo,TW,12,41.7%,5.1,5,2.2,6,9.3,455,78.8%,29.2%,24.8%,14%,772,1.23,0.48,0.35,0.17,466,6,115,25%,0%,0,5
Doran,KR,20,70%,3.3,2.8,3.3,8.1,7.6,386,61%,19.4%,20.1%,12.6%,570,1.1,0.36,0.21,0.23,-73,1,-75,20%,10%,0,4
Driver,TW,5,60%,3.3,2.4,3.2,8.2,6.8,347,57.9%,15.9%,18.4%,11.8%,480,1.04,0.51,0.12,0.2,-273,-4,-436,20%,0%,0,2
Duro,KR,13,61.5%,3.6,0.4,3.8,13,0.9,249,73.4%,7.2%,13.1%,42.3%,208,3.89,1.98,0.46,0.52,-102,-6,-194,7.7%,15.4%,0,-
Eddie,VN,6,33.3%,3.9,4.2,2.5,5.7,9.8,462,71.6%,31.7%,25%,13.2%,727,1.14,0.46,0.29,0.15,900,10,350,33.3%,0%,0,2
Elk,CN,8,50%,4,4.1,2.6,6.4,8.8,427,65.7%,27.5%,22.6%,14.4%,741,1.18,0.39,0.33,0.13,14,-2,70,25%,12.5%,0,-
Elyoya,ES,10,40%,4.7,4.9,2.5,6.8,7,392,81.3%,17.9%,20.9%,19.1%,465,1.65,0.38,0.38,0.33,-40,-1,18,60%,0%,0,2
Eyla,AU,5,20%,1.8,0.2,5,9,1.1,229,76.6%,5.4%,13.4%,46%,140,3.41,1.82,0.38,0.5,-154,4,-91,20%,0%,0,-
FBI,AU,5,20%,2.2,3.4,2.8,2.8,8.6,393,50.4%,27.9%,22.9%,14.3%,738,1.08,0.52,0.25,0.18,-841,-11,-128,0%,0%,0,-
Faker,KR,20,70%,5,4.4,2.5,8.2,8.3,421,72.8%,25.8%,21.9%,12.2%,769,1.08,0.42,0.22,0.16,-1,-2,4,15%,20%,0,3
Flandre,CN,10,60%,3.1,3.5,3,5.7,8.3,410,58.6%,22%,22%,11.8%,567,1.08,0.34,0.25,0.18,32,-8,-152,0%,10%,0,1
Gumayusi,KR,20,70%,4.1,5.2,3.1,7.5,9.5,460,72.8%,29.5%,24%,14.1%,864,1.23,0.48,0.35,0.17,53,8,121,25%,15%,0,2
Hang,CN,16,43.8%,2.4,0.4,4.2,9.4,1,251,73%,8.2%,13.6%,43.6%,230,3.44,1.95,0.4,0.57,169,1,130,37.5%,18.8%,0,1
Hans Sama,FR,10,50%,3.4,3,2.4,5.1,9.1,425,68.2%,25.8%,23.6%,15%,654,1.29,0.39,0.41,0.14,188,0,-65,30%,0%,0,-
Hiro02,VN,4,25%,1.7,1.8,4,5,8.2,362,58.1%,24.1%,19.9%,12.7%,548,1.08,0.42,0.24,0.23,94,6,-624,0%,25%,0,1
Hizto,VN,6,33.3%,3.1,3.5,3.2,6.2,6.9,372,71.5%,14.7%,20.2%,18.8%,340,1.64,0.51,0.27,0.45,258,3,178,33.3%,0%,0,1
HongQ,TW,12,41.7%,2.4,3.3,4.3,6.9,8.3,400,69.3%,26.8%,21.9%,14.7%,710,1.28,0.49,0.26,0.29,-503,-5,-510,16.7%,25%,0,2
Hope,CN,10,60%,4.5,3.7,2.5,7.6,9,423,70.1%,24.9%,22.6%,13.7%,655,1.26,0.51,0.33,0.19,-503,-12,-364,30%,20%,0,-
Inspired,PL,8,37.5%,3,3.5,2.8,4.9,7.4,376,61.8%,14.8%,20.9%,19.8%,410,1.55,0.21,0.43,0.14,40,3,165,37.5%,0%,0,1
JackeyLove,CN,16,43.8%,2.9,3.8,3.2,5.6,9,429,65.2%,26%,23.1%,15.5%,755,1.24,0.39,0.39,0.14,146,-0,-175,25%,12.5%,0,-
JunJia,TW,12,41.7%,3,3.2,3.3,6.6,6.9,369,70.9%,16.2%,20.2%,20.2%,438,1.76,0.37,0.41,0.32,-26,2,-115,25%,8.3%,0,1
Kael,KR,10,60%,4.5,1.2,3,12.2,1.1,256,80.2%,8.4%,13.6%,44.4%,222,4.02,2.09,0.49,0.53,50,-1,-86,50%,10%,0,-
Kaiwing,HK,12,41.7%,5,0.8,2.3,10.4,1.1,247,80.4%,8.2%,13.5%,39.4%,209,3.45,1.85,0.41,0.47,-153,1,40,25%,8.3%,0,-
